,software,categories
1506,DataGalaxy,"['Machine Learning Data Catalog', 'Active Metadata Management', 'Data Governance']"
1507,DataGardener,['Sales Intelligence']
1508,DataGrail,"['Sensitive Data Discovery', 'Consent Management Platform (CMP)', 'Data Privacy Management', 'Data Subject Access Request (DSAR)']"
1509,DataGrip,['Database Management Systems (DBMS)']
1510,DataGuard,"['Cookie Tracking', 'Privacy Policy Generator', 'Privacy Impact Assessment (PIA)', 'Data Subject Access Request (DSAR)', 'Data Privacy Management', 'Consent Management Platform (CMP)']"
1511,DataGuidance by OneTrust,['Regulatory Change Management']
1512,DataHawk,['Online Marketplace Optimization Tools']
1513,DataHelp DBX to PST Wizard,['File Converter']
1514,DataHelp OST to PST Wizard,['File Converter']
1515,DataHelp PFC to PST Wizard,['File Migration']
1516,DataHelp Software MBOX to PST Wizard,['File Converter']
1517,DataHub,"['Asset Performance Management', 'Manufacturing Intelligence']"
1518,DataLife Engine (DLE),['Web Content Management']
1519,DataLion,['Data Visualization']
1520,DataMatch Enterprise,"['Data Quality', 'Address Verification']"
1521,DataMelt,['Statistical Analysis']
1522,DataMyth,['Marketing Analytics']
1523,DataNumen Archive Repair,['File Converter']
1524,DataNumen BKF Repair,['Other Office']
1525,DataNumen DWG Recovery,['Other CAD']
1526,DataNumen Data Recovery,['File Converter']
1527,DataNumen Database Recovery,['Other Office']
1528,DataNumen Excel Repair,['File Recovery']
1529,DataNumen Outlook Drive Recovery,['Other Email']
1530,DataNumen Outlook Express Repair,['Other Email']
1531,DataNumen PDF Repair,['PDF Editor']
1532,DataNumen PSD Repair,['Photo Management']
1533,DataNumen RAR Repair,['File Converter']
1534,DataNumen Word Repair,['File Converter']
1535,DataNumen Zip Repair,['File Converter']
1536,DataPacket,"['Dedicated Hosting', 'Content Delivery Network (CDN)', 'Virtual Private Servers (VPS)']"
1537,DataPath,['Benefits Administration']
1538,DataPatrol Enterprise Information Security,['Insider Threat Management (ITM)']
1539,DataPoint,['Digital Signage']
1540,DataQire,['Survey']
1541,DataRPM,['Other Analytics']
1542,DataS GPD,['Supply Chain Planning']
1543,DataScale,['Machine Learning']
1544,DataScope,['Mobile Forms Automation']
1545,DataServ,"['Accounts Payable (AP) and Spend Analysis', 'Procure to Pay', 'Accounts Receivable', 'AP Automation', 'Invoice Management', 'Purchasing', 'Expense Management']"
1546,DataSnipper,['Financial Audit']
1547,DataStax,"['Columnar Databases', 'Data Replication', 'Database Monitoring', 'Time Series Databases', 'Event Stream Processing', 'Database as a Service (DBaaS)', 'Key Value Databases', 'Document Databases', 'Graph Databases', 'Vector Database', 'Wide Column Database']"
1548,DataStock,['Other Office']
1549,DataSunrise Database Security,"['Sensitive Data Discovery', 'Database Security', 'Data Masking']"
1550,DataTrue,['Tag Management Systems']
1551,DataTrust (formerly RDt),"['Data as a Service (DaaS)', 'Data Observability', 'Reverse ETL', 'DataOps Platforms', 'SAP Store', 'Automation Testing', 'Data Quality']"
1552,DataValidation,['Email Verification']
1553,DataWalk,"['Text Analysis', 'Analytics Platforms']"
1554,DataWise,['Privacy Impact Assessment (PIA)']
1555,Database Insights for SQL Server,['Other Product Suites']
1556,Database Oasis,['Desktop Database']
1557,Database as a Service (DBaaS),"['Database Management Systems (DBMS)', 'Database as a Service (DBaaS)']"
1558,Database by Design,['Virtual Private Servers (VPS)']
1559,Databasix,['Enterprise Information Archiving']
1560,Datablaze Voyager,"['IoT Device Management Platforms', 'IoT Connectivity Management']"
1561,Databowl,['Digital Marketing']
1562,Databox,"['Data Visualization', 'Payment Analytics']"
1563,Databricks Data Intelligence Platform,"['MLOps Platforms', 'ETL Tools', 'Big Data Processing and Distribution', 'Big Data Analytics', 'Data Warehouse', 'Data Science and Machine Learning Platforms', 'DataOps Platforms']"
1564,Datacon Dental System,['Dental Practice Management']
1565,Datacor ERP,"['Process ERP', 'ERP Systems']"
1566,Datacoves,"['Big Data Integration Platforms', 'ETL Tools', 'Data Preparation', 'Data Quality', 'Data Replication', 'Big Data Analytics', 'DataOps Platforms']"
1567,Datacrush,['Marketing Automation']
1568,Datactics Data Quality Suite,['Data Quality']
1569,Dataddo,"['Data Extraction', 'ETL Tools', 'Big Data Integration Platforms', 'E-Commerce Data Integration', 'iPaaS', 'Data Replication']"
1570,Datadeck,['Data Visualization']
1571,Datadog,"['Enterprise Monitoring', 'Log Monitoring', 'AIOps Platforms', 'Network Traffic Analysis (NTA)', 'Database Monitoring', 'IoT Device Management Platforms', 'IoT Analytics Platforms', 'Website Monitoring', 'Cloud Infrastructure Monitoring', 'IT Alerting', 'Container Monitoring', 'Log Analysis', 'Incident Response', 'Security Information and Event Management (SIEM)', 'API Marketplace', 'Application Performance Monitoring (APM)', 'Network Monitoring', 'Server Monitoring', 'Observability Solution Suites']"
1572,Datafinder,"['Lead Intelligence', 'Marketing Account Intelligence']"
1573,Datafiniti,"['Other Analytics', 'Web Data Providers']"
1574,Dataflair,['Technical Skills Development']
1575,Dataflo,"['Salesforce Consulting Services', 'HubSpot Consulting Services']"
1576,Datafold,"['DataOps Platforms', 'Data Observability']"
1577,Dataforce,['Data Exchange Platforms']
1578,Datagame,"['Gamification', 'Survey']"
1579,Datahub,"['Other Analytics', 'AWS Marketplace']"
1580,Datahug,"['Sales Analytics', 'Sales Performance Management', 'Salesforce AppExchange Apps']"
1581,Datahut,['Data Extraction Services']
1582,Datalense Services,['Lead Generation Services']
1583,Datalligence,['Objectives and Key Results (OKR)']
1584,Datalogix,['Data Management Platform (DMP)']
1585,Datalogz,['DataOps Platforms']
1586,Dataloop,"['Data Science and Machine Learning Platforms', 'Image Recognition', 'Machine Learning', 'MLOps Platforms', 'Active Learning Tools', 'Data Labeling']"
1587,Datamam,"['Market Research Services', 'Data Extraction Services']"
1588,Datamatic,['Embedded Business Intelligence']
1589,Datamatics TruBot,['Robotic Process Automation (RPA)']
1590,Datameer,"['Data Preparation', 'Data Quality', 'Machine Learning Data Catalog', 'DataOps Platforms']"
1591,Dataminer,['Data Extraction']
1592,Dataminr,"['Operational Risk Management', 'Threat Intelligence', 'Media Monitoring', 'Social Media Listening Tools', 'Protective Intelligence Platforms']"
1593,Datananas,['Sales Engagement']
1594,Datanyze,"['Marketing Account Intelligence', 'Lead Intelligence', 'Sales Intelligence']"
1595,Datapad,['Data Visualization']
1596,Datapath.io,['Virtual Private Servers (VPS)']
1597,Datapeople,"['Diversity Recruiting', 'Job Description Management']"
1598,Datapolis Workflow 365,['Other Process Automation']
1599,Datapred,['Time Series Intelligence']
1600,Dataquest,"['Online Course Providers', 'Technical Skills Development']"
1601,Datarade Marketplace,['Data Exchange Platforms']
1602,Datarails,"['Financial Close', 'Corporate Performance Management (CPM)', 'Financial Analysis', 'Budgeting and Forecasting']"
1603,Datarista,['Sales Intelligence']
1604,Dataroid,"['Digital Analytics', 'Product Analytics', 'Customer Journey Analytics']"
1605,Datasaur,['Data Labeling']
1606,Datasembly,"['Retail Intelligence', 'Trade Promotion Management', 'Retail Analytics']"
1607,Datashake,['Data Extraction']
1608,Datasite Diligence,"['Virtual Data Room', 'M\\u0026A Software']"
1609,Dataslayer.ai,"['ETL Tools', 'Google Workspace for Marketing', 'Marketing Analytics', 'Digital Analytics']"
1610,Datastream,['Other Finance \\u0026 Insurance']
1611,Datatables,['Other Web Frameworks']
1612,Datavail,"['Oracle Consulting Services', 'Microsoft Consulting Services', 'Business Process Management (BPM) Services', 'Enterprise Performance Management (EPM) Consultants', 'Software Developer Services', 'Data Governance Services', 'Cloud Migration Services', 'Artificial Intelligence Consulting', 'ITSM Tool Implementation, Consulting, and Managed Services', 'Managed Services', 'Amazon Web Services Channel Partners', '.NET Developers', 'Testing and QA', 'Qlik Channel Partners', 'IT Strategy Consulting', 'IT Infrastructure Consulting', 'Digital Transformation Consulting', 'Cloud Consulting', 'Business Intelligence (BI) Consulting', 'Solution Consulting', 'IT Outsourcing', 'AWS Consulting Services']"
1613,Datavare EDB Migration Tool,['File Migration']
1614,Datavare Gmail backup Expert,['Email Backup']
1615,Datavault Builder,['Data Warehouse Automation']
1616,Dataviso Roadmaps Planner,['IT Asset Management']
1617,Dataweave,"['Retail Intelligence', 'Brand Protection', 'Retail Analytics', 'Retail Pricing', 'E-Commerce Analytics', 'Pricing']"
1618,Dataworks!,['Other Analytics']
1619,Datawrapper,['Data Visualization']
1620,Dataxet,['Other Analytics']
1621,Datazip,"['Data Observability', 'iPaaS', 'Big Data Integration Platforms', 'Analytics Platforms', 'Embedded Business Intelligence', 'DataOps Platforms', 'ETL Tools', 'Reverse ETL']"
1622,Datev,"['Data Privacy Management', 'Incident Response', 'Regulatory Change Management', 'Third Party \\u0026 Supplier Risk Management', 'Data Subject Access Request (DSAR)', 'Privacy Impact Assessment (PIA)', 'Data Breach Notification', 'Cookie Tracking']"
1623,Datex BI Portal,['Other Real Estate']
1624,Datometry,['Data Virtualization']
1625,Datomic,['Other Non-Relational Databases']
1626,Daton,"['Data Replication', 'ETL Tools', 'E-Commerce Data Integration']"
1627,Datorios,"['Data Observability', 'ETL Tools']"
1628,Datto Networking Switches,['Data Center Switches']
1629,Datto SaaS Protection,"['SaaS Backup', 'Office 365 Management']"
1630,Dawiso,"['Knowledge Base', 'Active Metadata Management', 'Data Governance']"
1631,Daxko Operations,['Association Management']
1632,DaySchool,['K-12 Student Information Systems']
1633,DbFace,['Data Visualization']
1634,DbVisualizer,"['Database DevOps Software', 'Database Management Systems (DBMS)', 'SQL Integrated Development Environments (IDE)']"
1635,Dbvisit Standby,"['Data Replication', 'Disaster Recovery', 'Database Backup']"
1636,DeHealth,['Other Medical Services']
1637,DealRoom,['M\\u0026A Software']
1638,Dealer-FX,['Car Dealer']
1639,DealerSocket,['Automotive Marketing']
1640,Dealertrack DMS,['Car Dealer']
1641,Dealfront (formerly Echobot \u0026 Leadfeeder),"['Lead Intelligence', 'Sales Intelligence', 'Buyer Intent Data Providers', 'Visitor Identification', 'Lead Mining']"
1642,Dealroom.co,['Financial Research']
1643,Dealtale,"['Attribution', 'Marketing Analytics']"
1644,DebugBear,['Website Monitoring']
1645,Decision Master Warehouse,['Insurance Analytics']
1646,DecisionTree.jl,['Machine Learning']
1647,DecisionVault,['Other Legal']
1648,Decisions,"['Decision Management Platforms', 'Low-Code Development Platforms', 'Business Process Management', 'AI Meeting Assistants']"
1649,Decodable,"['iPaaS', 'Big Data Processing and Distribution', 'Stream Analytics', 'Event Stream Processing', 'Big Data Integration Platforms', 'ETL Tools', 'Data Replication', 'Data Extraction']"
1650,Dedoose,"['Other Development', 'User Research Repositories']"
1651,Dedrone DroneTracker,['Other IT Security']
1652,Dedupely,['Data Quality']
1653,Deep.BI,"['Customer Journey Analytics', 'Big Data Processing and Distribution', 'Big Data Analytics', 'Analytics Platforms', 'Content Analytics', 'Digital Analytics', 'Data Science and Machine Learning Platforms', 'Subscription Analytics']"
1654,DeepDetect,['Data Science and Machine Learning Platforms']
1655,DeepOpinion Studio,"['Text Analysis', 'No-Code Development Platforms']"
1656,Deeploy,['MLOps Platforms']
1657,Deepnote,"['Python Integrated Development Environments (IDE)', 'Analytics Platforms', 'Data Science and Machine Learning Platforms']"
1658,Defendocs,['Data Subject Access Request (DSAR)']
1659,Defiance Analytics,['Digital Marketing']
1660,Definitive Healthcare,"['Healthcare Integration Engines', 'Healthcare Analytics', 'Healthcare Commercial Intelligence']"
1661,Degreed,"['Talent Marketplace Platforms', 'Learning Experience Platforms (LXP)', 'Corporate Learning Management Systems']"
1662,DejaOffice PC CRM,['CRM']
1663,Dekoo Search Engine,['Browser']
1664,Delcam Data Exchange,"['CAD Data Exchange', 'CAD Viewers']"
1665,DeleteOnClick,['Data Destruction']
1666,DeliverySlip,"['Cloud Email Security', 'Email Encryption']"
1667,Dell EMC SourceOne,['Enterprise Information Archiving']
1668,Dell EMC Switches,"['Data Center Switches', 'LAN Switches']"
1669,Dell NetWorker,['Server Backup']
1670,Dell PowerFlex,['Hyperconverged Infrastructure (HCI) Solutions']
1671,Dell PowerScale,['Network Attached Storage (NAS)']
1672,Dell RecoverPoint,['Data Replication']
1673,Deloitte Consulting,"['ServiceNow Consulting Services', 'IBM Consulting Services', 'AWS Consulting Services', 'Workday Consulting Services', 'Adobe Consulting Services', 'Google Consulting Services', 'Anaplan Partners', 'Oracle Consulting Services', 'HubSpot Consulting Services', 'SAP Consulting Services', 'Microsoft Consulting Services', 'Salesforce Consulting Services', 'Business Process Management (BPM) Services', 'Robotic Process Automation (RPA) Consultancy Services', 'Data Privacy Services', 'Artificial Intelligence Consulting', 'Auditing Services', 'Host Analytics Channel Partners', 'Marketing Analytics Services', 'IBM Security VARs', 'IBM Server VARs', 'Quote-to-Cash Consulting', 'User Experience (UX) Design Services', 'HR Consulting', 'Tax Services', 'Financial Consulting', 'Accounting Firms', 'Cybersecurity Consulting']"
1674,Delpha,"['Email Verification', 'Data Quality', 'Salesforce AppExchange Apps']"
1675,Delphi,['Application Development']
1676,Delphix,"['Build Automation', 'Database Management Systems (DBMS)', 'Automation Testing', 'Structured Data Archiving and Application Retirement']"
1677,Delphix Data Platform,"['Data Fabric', 'DataOps Platforms']"
1678,Delta Drone,['Drone Analytics']
1679,DeltaForce,['Analytics Platforms']
1680,Deltek Ajera,"['Expense Management', 'Accounting', 'Project-Based ERP']"
1681,Deltek Cobra,['Earned Value Management']
1682,Demand,"['Buyer Intent Data Providers', 'Personalization', 'Email Verification', 'Lead Mining', 'Visitor Identification', 'Lead Capture', 'Sales Intelligence', 'Sales Engagement']"
1683,DemandJump,"['Content Creation', 'Local SEO', 'Marketing Analytics', 'Content Analytics', 'SEO Tools', 'Digital Analytics']"
1684,DemandLab,"['HubSpot Consulting Services', 'Salesforce Consulting Services', 'Data Governance Services', 'Account-Based Marketing Consulting', 'Blog Writing Services', 'Content Editing Services', 'Marketing Analytics Services', 'Managed Services', 'Marketing Automation Consulting', 'Graphic Design Services', 'Content Writing Services', 'Marketing Strategy', 'Content Marketing Agencies', 'Digital Marketing', 'Digital Transformation Consulting', 'Other Marketing Services', 'Adobe Consulting Services']"
1685,DemandScience,"['Account-Based Web and Content Experiences', 'Account-Based Advertising', 'Buyer Intent Data Providers', 'Marketing Account Intelligence', 'Lead Capture', 'Display Advertising']"
1686,DemandTools,"['Data Quality', 'Email Verification']"
1687,DemandWorks,"['Lead Generation Services', 'Email Marketing Services', 'Digital Marketing']"
1688,Democracy Direct,['Public Affairs and Advocacy']
1689,Demostack,['Demo Automation']
1690,Denodo,"['Machine Learning Data Catalog', 'Data Virtualization', 'Big Data Integration Platforms', 'Data Fabric', 'SAP Store']"
1691,Dental Lab CPM (DLCPM),"['Other Laboratory', 'Other Dental', 'LIMS']"
1692,Deployteq,"['Marketing Automation', 'Transactional Email']"
1693,Derwent Innovation,['Patent Research']
1694,Descartes Datamyne,['Global Trade Management']
1695,Descartes Denied Party Screening,['Third Party \\u0026 Supplier Risk Management']
1696,Design X,['3D Modeling']
1697,DesignMerge,['Variable Data Printing (VDP)']
